epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.59711,0.00595,0.01358,3.13967,1.1101,0.00933,0.6087,0.01833,0.01014,0.01067,0.69565,0.02085,0.00942,0.00742,0.01392,3.15901,1.26568,0.1,0,0
2,10.6234,0.00629,0.01365,2.99791,1.115,0.00933,0.6087,0.0157,0.00739,0.01067,0.69565,0.01538,0.0079,0.00745,0.01394,3.15894,1.26717,0.09901,9.99505e-06,9.99505e-06
3,12.725,0.00573,0.01379,3.09948,1.08891,0.01,0.65217,0.01825,0.00875,0.01133,0.73913,0.01934,0.00839,0.00748,0.01397,3.15798,1.26556,0.09802,1.99802e-05,1.99802e-05
4,14.2764,0.00592,0.01275,3.10805,1.10159,0.00933,0.6087,0.02526,0.01617,0.01,0.65217,0.02929,0.01302,0.00748,0.01402,3.15432,1.26477,0.09703,2.99555e-05,2.99555e-05
5,15.6274,0.00593,0.01219,3.09436,1.10593,0.00933,0.6087,0.0145,0.00838,0.01067,0.69565,0.01691,0.00817,0.0075,0.01401,3.15162,1.2683,0.0960399,3.99208e-05,3.99208e-05
6,17.0634,0.00637,0.01396,3.02859,1.13997,0.01,0.65217,0.24598,0.15083,0.01,0.65217,0.02072,0.00655,0.0077,0.08357,3.10779,1.24957,0.0950499,4.98763e-05,4.98763e-05
7,18.9285,0.00548,0.00919,2.58641,1.02164,0.01,0.65217,0.32162,0.20282,0.004,0.26087,0.02555,0.00775,0.00855,0.08772,3.00313,1.39295,0.0940598,5.98218e-05,5.98218e-05
8,20.6191,0.00495,0.00863,2.13589,0.99901,0.01,0.65217,0.27641,0.16694,0.00267,0.17391,0.00193,0.00061,0.00969,0.12753,3.46605,1.60255,0.0930698,6.97574e-05,6.97574e-05
9,22.3008,0.00548,0.01099,1.89158,1.0347,0.01,0.65217,0.34318,0.18563,0.00267,0.17391,0.00429,0.00098,0.00892,0.12886,3.39227,1.52815,0.0920797,7.96832e-05,7.96832e-05
10,24.0476,0.00576,0.01169,1.91915,1.05261,0.00933,0.6087,0.17326,0.08257,0,0,0,0,0.0112,0.30747,3.82148,1.89986,0.0910896,8.9599e-05,8.9599e-05
11,25.5178,0.00563,0.01123,1.80867,1.00179,0.00634,0.3913,0.13225,0.04236,0,0,0,0,0.0142,0.51223,4.00543,2.27149,0.0900995,9.9505e-05,9.9505e-05
12,26.8375,0.00533,0.01016,1.45423,0.97269,0.00682,0.3913,0.1075,0.02035,0,0,0,0,0.01668,0.61925,4.30075,2.62102,0.0891094,0.000109401,0.000109401
13,28.1574,0.00582,0.0094,1.39738,0.99892,0.00385,0.21739,0.01171,0.00326,0,0,0,0,0.0172,0.56741,4.4639,2.83623,0.0881193,0.000119287,0.000119287
14,29.9179,0.00522,0.00896,1.12905,0.96375,0.00368,0.21739,0.00661,0.00243,0,0,0,0,0.01802,0.4615,4.29981,2.94875,0.0871292,0.000129163,0.000129163
15,31.3371,0.00548,0.00961,1.06067,0.99238,0.00428,0.26087,0.0052,0.00185,0.00357,0.21739,0.00227,0.0003,0.01763,0.33088,4.30887,2.98932,0.086139,0.00013903,0.00013903
16,32.6961,0.00528,0.00771,0.94296,0.96083,0.004,0.26087,0.00336,0.00121,0.00467,0.30435,0.00577,0.00159,0.01833,0.29036,4.2676,3.09354,0.0851489,0.000148886,0.000148886
17,34.0973,0.00576,0.00954,0.94685,0.96424,0.00333,0.21739,0.00246,0.00089,0.00333,0.21739,0.00237,0.00082,0.01897,0.19253,4.24772,3.12751,0.0841587,0.000158733,0.000158733
18,35.4574,0.006,0.01039,0.84906,1.04878,0.00333,0.21739,0.00229,0.00076,0.00133,0.08696,0.00102,0.00044,0.019,0.17425,4.33868,3.11021,0.0831686,0.000168569,0.000168569
19,36.8345,0.00646,0.01068,0.861,0.99994,0.00267,0.17391,0.00193,0.00055,0.00067,0.04348,0.0005,0.00027,0.01966,0.19171,4.37932,3.21823,0.0821784,0.000178396,0.000178396
20,38.1517,0.00507,0.00763,0.76232,0.91506,0.00333,0.21739,0.00302,0.00067,0.00067,0.04348,0.0005,0.00023,0.01944,0.20644,4.32886,3.24345,0.0811882,0.000188213,0.000188213
21,39.5308,0.00589,0.01039,0.75091,0.98176,0.00333,0.21739,0.00243,0.00073,0.00067,0.04348,0.0005,0.00031,0.01985,0.20857,4.44298,3.40328,0.080198,0.00019802,0.00019802
22,42.3348,0.00566,0.01011,0.7066,0.96892,0.00267,0.17391,0.00188,0.00086,0.00133,0.08696,0.00086,0.00034,0.02022,0.20861,4.59746,3.50288,0.0792078,0.000207817,0.000207817
23,43.5673,0.00575,0.00886,0.70942,0.96282,0.00267,0.17391,0.00198,0.00076,0.00133,0.08696,0.00088,0.00028,0.02072,0.21127,4.60049,3.55321,0.0782176,0.000217604,0.000217604
24,44.7946,0.0061,0.00863,0.69041,0.98344,0.00267,0.17391,0.00219,0.00063,0.00067,0.04348,0.00052,0.00029,0.02141,0.2411,4.71329,3.80909,0.0772274,0.000227381,0.000227381
25,45.9474,0.00566,0.00949,0.64227,0.97734,0.00269,0.17391,0.00411,0.00086,0.00067,0.04348,0.00055,0.00035,0.02229,0.25034,4.87346,4.04852,0.0762371,0.000237149,0.000237149
26,47.2785,0.00536,0.00859,0.60411,0.93943,0.00285,0.17391,0.00872,0.00125,0.00071,0.04348,0.00059,0.00037,0.02358,0.2407,4.83077,4.23225,0.0752469,0.000246906,0.000246906
27,48.5614,0.00472,0.00759,0.58635,0.91221,0.00156,0.08696,0.00117,0.00048,0.00078,0.04348,0.00062,0.00028,0.02336,0.20136,4.8911,4.27336,0.0742567,0.000256654,0.000256654
28,49.8175,0.00628,0.01117,0.66159,1.03081,0.00165,0.08696,0.00132,0.00052,0.00082,0.04348,0.00066,0.0002,0.02346,0.16682,4.92573,4.2566,0.0732664,0.000266391,0.000266391
29,50.9879,0.00596,0.0112,0.67382,0.99489,0.00254,0.13043,0.00341,0.00073,0.00085,0.04348,0.00066,7e-05,0.02351,0.16022,4.96572,4.17272,0.0722761,0.000276119,0.000276119
30,52.1766,0.00572,0.00899,0.59984,0.97113,0.00217,0.08696,0.00224,0.0007,0,0,0,0,0.02278,0.18199,5.02994,3.97108,0.0712858,0.000285837,0.000285837
31,53.4093,0.00592,0.00977,0.60693,0.9724,0.00457,0.08696,0.00508,0.00163,0,0,0,0,0.02037,0.18054,5.11212,3.51571,0.0702955,0.000295545,0.000295545
32,54.7259,0.00596,0.0101,0.57765,1.00399,0.00897,0.08696,0.00843,0.00207,0.00448,0.04348,0.00478,0.00048,0.01811,0.17783,5.19081,3.17159,0.0693052,0.000305243,0.000305243
33,55.9652,0.0053,0.00922,0.57291,0.96555,0.02,0.08696,0.01471,0.00332,0.01,0.04348,0.00927,0.00185,0.01681,0.17398,5.23622,2.94279,0.0683149,0.000314931,0.000314931
34,57.211,0.00523,0.00846,0.58735,0.92899,0.02564,0.04348,0.01785,0.00535,0.02564,0.04348,0.01785,0.00357,0.01665,0.17109,5.30708,2.90701,0.0673246,0.000324609,0.000324609
35,58.5537,0.00469,0.00888,0.5487,0.92139,0.05556,0.04348,0.03773,0.01132,0.05556,0.04348,0.03773,0.00377,0.01636,0.18379,5.35944,2.93914,0.0663343,0.000334278,0.000334278
36,60.0616,0.00519,0.00836,0.56815,0.94511,0.125,0.04348,0.06709,0.01342,0.125,0.04348,0.06709,0.00671,0.01626,0.19954,5.38826,2.94909,0.0653439,0.000343936,0.000343936
37,61.3318,0.00494,0.00824,0.56201,0.93095,0.42857,0.13043,0.26795,0.09821,0,0,0,0,0.01593,0.2084,5.44699,2.83359,0.0643536,0.000353585,0.000353585
38,62.7287,0.00499,0.00823,0.55228,0.91633,0.18182,0.08696,0.13725,0.05789,0,0,0,0,0.01542,0.20513,5.48116,2.70938,0.0633632,0.000363223,0.000363223
39,64.0121,0.00475,0.00814,0.56253,0.91344,0.125,0.08696,0.11398,0.04813,0.0625,0.04348,0.0523,0.00523,0.01516,0.20046,5.51877,2.59586,0.0623729,0.000372852,0.000372852
40,65.3308,0.00492,0.00879,0.49977,0.93436,0.27778,0.21739,0.28055,0.09321,0.22222,0.17391,0.15471,0.03423,0.01525,0.20534,5.42223,2.52145,0.0613825,0.000382471,0.000382471
41,66.5513,0.0051,0.0078,0.54929,0.95313,0.3,0.26087,0.2758,0.1608,0.25,0.21739,0.24599,0.10528,0.0141,0.19235,5.22942,2.34199,0.0603921,0.00039208,0.00039208
42,67.967,0.00478,0.00766,0.52181,0.91616,0.31579,0.26087,0.32216,0.2036,0.26316,0.21739,0.29037,0.14613,0.0129,0.18485,4.91445,2.1462,0.0594017,0.000401679,0.000401679
43,69.2745,0.00507,0.01045,0.53337,0.91507,0.33333,0.30435,0.3404,0.20891,0.2381,0.21739,0.27873,0.14482,0.01236,0.1938,4.77533,2.01782,0.0584113,0.000411268,0.000411268
44,71.2535,0.00482,0.00877,0.5303,0.90167,0.45,0.3913,0.4636,0.26813,0.4,0.34783,0.39233,0.17769,0.01257,0.2052,4.55304,1.97124,0.0574208,0.000420847,0.000420847
45,72.8866,0.0047,0.00773,0.51878,0.91798,0.42105,0.34783,0.43399,0.2759,0.42105,0.34783,0.42827,0.1862,0.01253,0.22717,4.54138,1.99473,0.0564304,0.000430417,0.000430417
46,74.1988,0.00496,0.01032,0.49619,0.93965,0.47368,0.3913,0.48785,0.31739,0.42105,0.34783,0.45342,0.21311,0.01187,0.24882,4.41376,1.83488,0.05544,0.000439976,0.000439976
47,75.6048,0.00517,0.00927,0.52131,0.93918,0.64286,0.3913,0.55613,0.34933,0.64286,0.3913,0.55613,0.27174,0.01151,0.25655,4.27779,1.76748,0.0544495,0.000449526,0.000449526
48,76.9882,0.00504,0.00725,0.50817,0.93548,0.625,0.43478,0.57755,0.35541,0.5625,0.3913,0.53292,0.31186,0.01163,0.25534,4.22884,1.80281,0.0534591,0.000459065,0.000459065
