epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3421,0.00813,0.02229,3.60792,1.54797,0.00621,0.72,0.05881,0.02909,0.00655,0.76,0.06706,0.03659,0.00632,0.01491,3.45202,1.27179,0.09703,3e-05,3e-05
2,14.2963,0.0085,0.02251,3.6209,1.59808,0.00609,0.70667,0.04595,0.02222,0.00655,0.76,0.06008,0.03277,0.00639,0.01526,3.46108,1.29148,0.09307,6.99654e-05,6.99654e-05
3,17.4087,0.00617,0.01556,2.99178,1.33171,0.00506,0.58667,0.03455,0.00871,0,0,0,0,0.01592,0.19246,3.57997,2.9178,0.0891099,0.000109891,0.000109891
4,20.5157,0.0049,0.0097,1.9397,1.17458,0.00345,0.4,0.00449,0.00145,0,0,0,0,0.02192,0.4586,3.8078,3.28564,0.0851498,0.000149777,0.000149777
5,23.9921,0.00556,0.01019,1.50166,1.22283,0.00448,0.52,0.05367,0.0248,0,0,0,0,0.01905,0.64581,3.74451,2.89386,0.0811896,0.000189624,0.000189624
6,27.2131,0.00573,0.00953,1.39767,1.23676,0.00471,0.54667,0.09639,0.04769,0.00023,0.02667,0.00012,3e-05,0.01937,0.67603,3.74119,2.8783,0.0772294,0.000229431,0.000229431
7,30.2236,0.0055,0.00844,1.18237,1.2274,0.00665,0.50667,0.13405,0.07777,0.00017,0.01333,9e-05,5e-05,0.01761,0.61571,4.0404,2.55822,0.0732692,0.000269198,0.000269198
8,33.3068,0.00559,0.00861,1.06756,1.24261,0.125,0.12,0.09641,0.0431,0,0,0,0,0.0178,0.59364,4.40529,2.58092,0.0693089,0.000308926,0.000308926
9,36.4361,0.00528,0.00844,0.98245,1.13154,0.01724,0.01333,0.01035,0.00311,0,0,0,0,0.01683,0.41001,4.71474,2.6625,0.0653486,0.000348614,0.000348614
10,39.4694,0.00543,0.00853,0.99374,1.1675,0.21333,0.21333,0.20902,0.10909,0,0,0,0,0.01337,0.85964,4.56399,2.25624,0.0613883,0.000388263,0.000388263
11,42.544,0.0054,0.00818,0.9907,1.17017,0.10286,0.24,0.12875,0.06971,0,0,0,0,0.0112,1.00882,4.58948,2.02701,0.0574279,0.000427871,0.000427871
12,45.6716,0.00462,0.00748,0.84978,1.10703,0.10078,0.17333,0.06416,0.01937,0,0,0,0,0.01202,1.01247,4.86194,2.22626,0.0534674,0.000467441,0.000467441
13,48.798,0.00497,0.00793,0.90045,1.13054,0.11828,0.29333,0.19898,0.0968,0,0,0,0,0.00999,0.88818,4.62663,1.85994,0.049507,0.000506971,0.000506971
14,52.734,0.00507,0.00734,0.86868,1.15387,0.11552,0.42667,0.24008,0.11898,0.01805,0.06667,0.01609,0.00592,0.01044,0.47251,4.4259,1.98588,0.0455465,0.000546461,0.000546461
15,55.9385,0.00472,0.00736,0.83127,1.13254,0.07097,0.44,0.29777,0.15649,0.66364,0.02667,0.04501,0.01597,0.00887,0.4546,4.15384,1.72453,0.0415859,0.000585911,0.000585911
16,59.0461,0.00469,0.00764,0.75475,1.11796,0.76722,0.09333,0.28837,0.18,0.58473,0.06667,0.09256,0.03336,0.00981,0.40663,3.94953,1.86399,0.0376253,0.000625322,0.000625322
17,62.2301,0.00494,0.00779,0.84058,1.13787,0.81046,0.25333,0.39763,0.26213,0.19539,0.04,0.03435,0.0102,0.00925,0.43851,3.32707,1.76776,0.0336647,0.000664694,0.000664694
18,65.3902,0.00478,0.00718,0.7442,1.12128,0.78473,0.4,0.51818,0.32245,0,0,0,0,0.00856,0.43835,3.35454,1.57352,0.029704,0.000704025,0.000704025
19,68.5799,0.00497,0.00827,0.82073,1.1461,0.86988,0.41333,0.62996,0.45584,0,0,0,0,0.00749,0.58424,2.88955,1.4032,0.0257433,0.000743318,0.000743318
20,71.6335,0.00501,0.00744,0.759,1.1482,0.90884,0.38667,0.57936,0.39026,0.00295,0.01333,0.0015,0.0012,0.00783,0.47729,2.94275,1.46864,0.0217826,0.00078257,0.00078257
21,74.6702,0.00511,0.00765,0.83575,1.14363,0.89961,0.47799,0.5878,0.35005,0.00552,0.05333,0.00363,0.00108,0.00842,0.32414,2.66461,1.48765,0.0178218,0.000821783,0.000821783
22,77.6817,0.00493,0.0081,0.7594,1.14154,0.62849,0.22667,0.32548,0.16966,0.00852,0.06667,0.00468,0.00163,0.00974,0.24934,3.64982,1.83687,0.013861,0.000860956,0.000860956
23,80.6564,0.00482,0.00791,0.74224,1.11897,0.50213,0.22866,0.26717,0.12452,0.0127,0.10667,0.00781,0.00175,0.01028,0.23584,3.5947,2.15207,0.00990009,0.00090009,0.00090009
24,84.1531,0.00466,0.00798,0.70042,1.1076,0.54347,0.29333,0.3164,0.15056,0.21968,0.10667,0.06067,0.01549,0.01042,0.19103,3.66583,2.07347,0.00593918,0.000939184,0.000939184
25,87.5563,0.00499,0.00747,0.72568,1.14322,0.53029,0.28,0.30044,0.17737,0.25844,0.13333,0.09303,0.02194,0.01104,0.11274,3.33122,2.20654,0.00197824,0.000978239,0.000978239
26,90.7016,0.00516,0.00809,0.73478,1.16338,0.40988,0.25333,0.20831,0.10922,0.17105,0.09333,0.03417,0.01043,0.01156,0.13391,3.62129,2.3546,0.000987625,0.000987625,0.000987625
27,93.7041,0.00459,0.00721,0.73596,1.09666,0.76487,0.48,0.52222,0.32467,0.14596,0.02667,0.01125,0.00532,0.00949,0.17089,2.5287,1.77333,0.00098713,0.00098713,0.00098713
28,96.8196,0.0046,0.0075,0.70149,1.11765,0.69081,0.38729,0.55158,0.3399,0.18705,0.05333,0.03499,0.00847,0.00937,0.1175,2.49514,1.69995,0.000986635,0.000986635,0.000986635
29,99.8507,0.00488,0.00829,0.74784,1.13664,0.70289,0.53333,0.61375,0.39578,0.15051,0.14667,0.04003,0.01167,0.00879,0.10622,1.80361,1.7239,0.00098614,0.00098614,0.00098614
30,102.856,0.00476,0.00787,0.72761,1.11961,0.58706,0.52,0.52642,0.35085,0.128,0.13333,0.04415,0.0183,0.00867,0.13143,2.21648,1.75374,0.000985645,0.000985645,0.000985645
31,105.982,0.00461,0.00685,0.67706,1.07762,0.50448,0.28,0.33109,0.19013,0.23163,0.14667,0.1076,0.02709,0.01062,0.13562,3.12584,2.06523,0.00098515,0.00098515,0.00098515
32,108.923,0.0048,0.00756,0.6994,1.10805,0.57649,0.50667,0.56584,0.36124,0.16491,0.18667,0.07986,0.02663,0.00879,0.14569,1.86557,1.79592,0.000984655,0.000984655,0.000984655
33,113.546,0.00507,0.00759,0.73236,1.13589,0.81848,0.50667,0.65933,0.49404,0.09699,0.13751,0.04361,0.01141,0.00791,0.30056,1.48821,1.55224,0.00098416,0.00098416,0.00098416
34,116.673,0.00498,0.00765,0.7052,1.11168,0.52104,0.45333,0.46589,0.33355,0.24156,0.17333,0.11475,0.03689,0.00818,0.11732,1.92741,1.57234,0.000983665,0.000983665,0.000983665
35,119.757,0.00496,0.00832,0.71117,1.10849,0.49113,0.45333,0.45216,0.28935,0.49259,0.46667,0.45422,0.15637,0.00951,0.03452,2.26974,1.82677,0.00098317,0.00098317,0.00098317
36,122.789,0.00476,0.00822,0.70235,1.12848,0.46346,0.41333,0.42167,0.26889,0.5937,0.34667,0.37477,0.10882,0.00909,0.03182,2.02836,1.67153,0.000982675,0.000982675,0.000982675
37,125.966,0.0049,0.00861,0.69005,1.14258,0.38597,0.45333,0.35275,0.24622,0.33316,0.45333,0.25859,0.11154,0.00867,0.02642,2.25424,1.51392,0.00098218,0.00098218,0.00098218
38,128.93,0.00466,0.00805,0.658,1.08949,0.77055,0.49256,0.55694,0.40581,0.65173,0.48,0.5241,0.22423,0.00787,0.03176,1.72258,1.56947,0.000981685,0.000981685,0.000981685
39,132.027,0.00454,0.00735,0.62411,1.09359,0.76378,0.61333,0.65995,0.48442,0.82374,0.64,0.70821,0.46075,0.00762,0.0196,1.46829,1.47772,0.00098119,0.00098119,0.00098119
40,135.024,0.00451,0.00713,0.67264,1.10437,0.79372,0.66696,0.69003,0.50493,0.79372,0.66696,0.692,0.45001,0.0067,0.01813,1.34539,1.288,0.000980695,0.000980695,0.000980695
41,138.205,0.00445,0.00721,0.61331,1.0648,0.75544,0.53546,0.62063,0.46062,0.69984,0.56,0.60907,0.41167,0.00665,0.02038,1.55877,1.38262,0.0009802,0.0009802,0.0009802
42,141.29,0.00457,0.00734,0.64236,1.10265,0.76416,0.65333,0.68723,0.47428,0.74204,0.64,0.66106,0.38775,0.00728,0.02438,1.45414,1.47637,0.000979705,0.000979705,0.000979705
43,144.383,0.00453,0.00816,0.62054,1.09622,0.75745,0.61333,0.70724,0.50182,0.69132,0.56,0.60255,0.34312,0.0066,0.02879,1.22954,1.38427,0.00097921,0.00097921,0.00097921
44,147.747,0.00467,0.00796,0.6042,1.0832,0.81303,0.62667,0.73909,0.52151,0.67493,0.6,0.63472,0.37271,0.00668,0.02846,1.29365,1.33375,0.000978715,0.000978715,0.000978715
45,150.819,0.00447,0.00789,0.62619,1.10946,0.81782,0.65333,0.68857,0.47976,0.81395,0.64,0.68783,0.39789,0.00674,0.02628,1.35677,1.35922,0.00097822,0.00097822,0.00097822
46,153.906,0.00461,0.00836,0.62249,1.11178,0.75087,0.643,0.64605,0.45877,0.72005,0.61734,0.60576,0.385,0.00695,0.02788,1.5655,1.45806,0.000977725,0.000977725,0.000977725
47,156.924,0.00443,0.00761,0.58504,1.07896,0.768,0.57333,0.6248,0.42204,0.7954,0.58667,0.62667,0.31995,0.00804,0.03106,1.6372,1.58113,0.00097723,0.00097723,0.00097723
