epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.10543,0.00631,0.01895,2.66833,1.34172,0.01933,0.85294,0.06869,0.04421,0.01867,0.82353,0.0647,0.02855,0.00616,0.01835,2.70049,1.31841,0.1,0,0
2,8.39572,0.00686,0.02208,2.74826,1.4285,0.01933,0.85294,0.08371,0.05521,0.01867,0.82353,0.07646,0.03426,0.00615,0.01837,2.70807,1.32564,0.09901,9.99505e-06,9.99505e-06
3,9.71533,0.00692,0.02203,2.78315,1.39471,0.01933,0.85294,0.07724,0.05228,0.01867,0.82353,0.07643,0.03319,0.00621,0.01841,2.70744,1.33912,0.09802,1.99802e-05,1.99802e-05
4,11.0662,0.00744,0.02444,2.75184,1.45972,0.01933,0.85294,0.0941,0.059,0.01867,0.82353,0.09336,0.03997,0.00621,0.01838,2.69987,1.34131,0.09703,2.99555e-05,2.99555e-05
5,12.298,0.00742,0.02472,2.81462,1.47543,0.01933,0.85294,0.07253,0.05178,0.018,0.79412,0.0781,0.03576,0.00639,0.01838,2.69577,1.35098,0.0960399,3.99208e-05,3.99208e-05
6,13.4984,0.00663,0.02164,2.76401,1.38899,0.01933,0.85294,0.06075,0.04216,0.01867,0.82353,0.05197,0.02338,0.00656,0.05376,2.70707,1.53291,0.0950499,4.98763e-05,4.98763e-05
7,14.8044,0.00576,0.01636,2.31941,1.2702,0.01733,0.76471,0.14233,0.09524,0.01267,0.55882,0.08945,0.04019,0.00941,0.05302,2.71252,1.91866,0.0940598,5.98218e-05,5.98218e-05
8,16.2138,0.00584,0.01424,2.07884,1.34973,0.01467,0.64706,0.09995,0.03897,0.012,0.52941,0.07384,0.01687,0.01438,0.097,3.08894,2.66866,0.0930698,6.97574e-05,6.97574e-05
9,17.4681,0.00516,0.01258,1.84175,1.22469,0.02086,0.52941,0.06431,0.0239,0.01738,0.44118,0.03251,0.00854,0.01858,0.07763,3.39928,3.28362,0.0920797,7.96832e-05,7.96832e-05
10,18.7485,0.00429,0.01006,1.66622,1.12007,0.01779,0.44118,0.07302,0.03,0.00949,0.23529,0.02494,0.00345,0.02024,0.07807,3.48595,3.40254,0.0910896,8.9599e-05,8.9599e-05
11,20.1479,0.00424,0.00978,1.62326,1.12482,0.01661,0.44118,0.07027,0.03312,0,0,0,0,0.02041,0.11876,3.5426,3.40954,0.0900995,9.9505e-05,9.9505e-05
12,21.4739,0.00464,0.01159,1.44242,1.16974,0.01919,0.58824,0.10155,0.04654,0,0,0,0,0.02113,0.12318,3.34904,3.4443,0.0891094,0.000109401,0.000109401
13,22.7668,0.00414,0.00938,1.2784,1.08084,0.01636,0.61765,0.07992,0.03036,0,0,0,0,0.01971,0.13011,3.19669,3.22253,0.0881193,0.000119287,0.000119287
14,24.0958,0.00402,0.00933,1.21907,1.07316,0.01533,0.67647,0.07135,0.02037,0,0,0,0,0.01816,0.12135,2.98161,3.01531,0.0871292,0.000129163,0.000129163
15,25.457,0.00432,0.01058,1.24112,1.14726,0.01467,0.64706,0.09076,0.02849,0.00533,0.23529,0.00397,0.0007,0.01969,0.08558,3.06588,3.29533,0.086139,0.00013903,0.00013903
16,26.7202,0.00396,0.00942,1.07759,1.09213,0.01476,0.64706,0.06534,0.01693,0.00671,0.29412,0.00491,0.0008,0.02162,0.09434,3.1791,3.7243,0.0851489,0.000148886,0.000148886
17,28.0604,0.00445,0.00904,1.10318,1.10821,0.0142,0.61765,0.06308,0.01598,0.00068,0.02941,0.00039,0.00011,0.023,0.14303,3.2469,4.35957,0.0841587,0.000158733,0.000158733
